oisin-ui-1  | 2026-02-24T02:13:18.783636444Z Starting daemon and web server...
oisin-ui-1  | 2026-02-24T02:13:18.813446958Z $ NODE_ENV=development tsx packages/server/scripts/daemon-runner.ts --dev
oisin-ui-1  | 2026-02-24T02:13:19.119615855Z @oisin/web dev: 
oisin-ui-1  | 2026-02-24T02:13:19.119662188Z @oisin/web dev:   VITE v7.3.1  ready in 206 ms
oisin-ui-1  | 2026-02-24T02:13:19.119667147Z @oisin/web dev: 
oisin-ui-1  | 2026-02-24T02:13:19.119668563Z @oisin/web dev:   ➜  Local:   http://localhost:44285/
oisin-ui-1  | 2026-02-24T02:13:19.119670397Z @oisin/web dev:   ➜  Network: http://192.168.117.2:44285/
oisin-ui-1  | 2026-02-24T02:13:19.158907218Z [DaemonRunner] Starting daemon worker (dev mode, crash restarts enabled)
oisin-ui-1  | 2026-02-24T02:13:21.319751271Z [02:13:21.253] [31mERROR[39m: [36mAnother Paseo daemon is already running (PID 28, started 2026-02-23T23:09:49.577Z)[39m
oisin-ui-1  | 2026-02-24T02:13:21.510342926Z [DaemonRunner] Worker exited (code 1). Restarting worker...
oisin-ui-1  | 2026-02-24T02:13:22.147684080Z [02:13:22.113] [31mERROR[39m: [36mAnother Paseo daemon is already running (PID 28, started 2026-02-23T23:09:49.577Z)[39m
oisin-ui-1  | 2026-02-24T02:13:22.259589467Z [DaemonRunner] Worker exited (code 1). Restarting worker...
oisin-ui-1  | 2026-02-24T02:13:22.890547374Z [02:13:22.861] [31mERROR[39m: [36mAnother Paseo daemon is already running (PID 28, started 2026-02-23T23:09:49.577Z)[39m
oisin-ui-1  | 2026-02-24T02:13:23.007027371Z [DaemonRunner] Worker exited (code 1). Restarting worker...
oisin-ui-1  | 2026-02-24T02:13:23.560003514Z [02:13:23.526] [31mERROR[39m: [36mAnother Paseo daemon is already running (PID 28, started 2026-02-23T23:09:49.577Z)[39m
oisin-ui-1  | 2026-02-24T02:13:23.671205230Z [DaemonRunner] Worker exited (code 1). Restarting worker...
oisin-ui-1  | 2026-02-24T02:13:24.206324431Z [02:13:24.172] [31mERROR[39m: [36mAnother Paseo daemon is already running (PID 28, started 2026-02-23T23:09:49.577Z)[39m
